Change component parameters: Designator = "U2" ("U2"); Footprint = "SOT223"; UniqueID = "\IEYORLAH" ("\IEYORLAH")
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "LM1117IMP-3.3/NOPB"; VariantName = "[No Variations]"
Change component parameters: Designator = "U5" ("U5"); Footprint = "IC_TCAN4550RGYTQ1"; UniqueID = "\UDLBZWCU" ("\UDLBZWCU")
Change component parameters (AddParameter): Name = "Availability"; Value = "Unavailable"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "TCAN4550RGYTQ1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MF"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Change component parameters: Designator = "U6" ("U6"); Footprint = "IC_TCAN4550RGYTQ1"; UniqueID = "\UNUSUQNL" ("\UNUSUQNL")
Change component parameters (AddParameter): Name = "Availability"; Value = "Unavailable"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "TCAN4550RGYTQ1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MF"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Room: Name=CAN2XG
